Preferred term,Category,Source,Source2,Variants,Var source,Variants2,Definition,Definition source,Applicable profession,Related term,Relationship,Related term 2,Relationship2,Main category,Flag,Notes,LCSH Heading,LCSH link,OHP Core
LGBT Cinema,GT,PST,,Queer Cinema,,,"Labeling people whose sexual and gender identities fall outside of heterosexuality may create solidarity among people based on commonality, which may in turn encourage them to identify with one another and create a community in which they find support and organize to initiate a political movement",,,,,,,,,,,,
Licensing Agreement,GT,PST,,,,,a partnership between an intellectual property rights owner (licensor) and another who is authorized to use such rights (licensee) in exchange for an agreed payment (fee or royalty),,,,,,,,,,,,
Lifetime,GT,PST,,,,,Cable TV channel,,,,,,,,,,,,
Linotype,GT,PST,,,,,"The linotype machine is a ""line casting"" machine used in printing",,,,,,,,,,,,
Literature,GT,PST,,,,,"written works, especially those considered of superior or lasting artistic merit",,,,,,,,,,,,
"Los Angeles, California",GT,PST,,,,,,,,,,,,,,,,,
Machismo,GT,PST,,,,,"Male dominance, female inferiority",,,,,,,,,,,,
Magical Realism,GF,PST,,,,,"Genre of fiction, the supernatural blends into reality without question from audience/characters",,,,,,,,,,,,
Makeup,TP,PST,,,,,"cosmetics such as lipstick or powder applied to the face, used to enhance or alter the appearance.",,,,,,,,,,,,
Makeup artist,PC,PST,,,,,"A make-up artist is an artist whose medium is the human body, applying makeup and prosthetics for theatrical, television, filmmaking, fashion, magazines and other similar productions including all aspects of the modeling industry.",,,,,,,,,,,,
Mar del Plata International Film Festival,ET,PST,,,,,"Created in 1954 by Jesus Miller, it was not considered to be a competitive festival, it was just an exhibition of selected international movies.",,,,,,,,,,,,
"Marfa, Texas",GT,PST,,,,,,,,,,,,,,,,,
Marginal Cinema,GF,PST,,,,,"A ""marginal cinema"" emerges associated with the Boca de Lixo area in São Paulo. Marginal cinema of this period is sometimes also referred to as ""udigrudi"", a mocking of the English word underground. Also popular was Zé do Caixão, the screen alter ego of actor and horror film director José Mojica Marins.",,,,,,,,,,,,
Marriage,GT,PST,,,,,the legally or formally recognized union of two people as partners in a personal relationship,,,,,,,,,,,,
Marxism,GT,PST,,,,,"the political and economic theories of Karl Marx and Friedrich Engels, later developed by their followers to form the basis for the theory and practice of communism",,,,,,,,,,,,
Maya civilization,GT,PST,,,,,"A Mesoamerican civilization developed by the Maya peoples, and noted for its hieroglyphic script—the only known fully developed writing system of the pre-Columbian Americas",,,,,,,,,,,,
Media Representation,GT,PST,,,,,,,,,,,,,,,,,
Melodrama,GF,PST,,,,,"Storytelling style, specifically in relation to Mexican film",,,,,,,,,,,,
Mentoring,TP,PST,,,,,Whether received or given,,,,,,,,,,,,
Mexicali,GT,PST,,,,,Mexicali is the capital city of the Mexican state of Baja California and seat of the Municipality of Mexicali,,,,,,,,,,,,
Mexican cinema,GT,PST,,,,,,,,,,,,,,,,,
Mexican film industry,GT,PST,,,,,,,,,,,,,,,,,
Mexican Independence Day,ET,PST,,,,,"A Mexican holiday to celebrate the “cry of independence” on September 16, 1810, which started a revolt against the Spaniards. It follows from the day of the Cry of Dolores (El Grito de Dolores), on September 15",,,,,,,,,,,,
Mexican Revolution (1910-1920)],ET,PST,,,,,"Mexican Revolution, (1910–20), a long and bloody struggle among several factions in constantly shifting alliances which resulted ultimately in the end of the 30-year dictatorship in Mexico and the establishment of a constitutional republic",,,,,,,,,,,,
Mexican-American culture,GT,PST,,,,,,,,,,,,,,,,,
Mexico City,GT,PST,,,,,Capital of Mexico,,,,,,,,,,,,
Middle class,GT,PST,,,,,"the social group between the upper and working classes, including professional and business workers and their families.",,,,,,,,,,,,
Migration,GT,PST,,,,,Movement from one place to another,,,,,,,,,,,,
Military service,GT,PST,,,,,,,,,,,,,,,,,
Millenialism,GT,PST,,,,,"a belief held by some Christian denominations that there will be a Golden Age or Paradise on Earth in which ""Christ will reign"" for 1000 years prior to the final judgment and future eternal state",,,,,,,,,,,,
